date,avg_price_all_property_types,hpi_all_property_types
1968-03-01,3218,1.1
1968-04-01,3218,1.1
1968-05-01,3218,1.1
1968-06-01,3327,1.2
1968-07-01,3327,1.2
1968-08-01,3327,1.2
1968-09-01,3309,1.2
1968-10-01,3309,1.2
1968-11-01,3309,1.2
1968-12-01,3364,1.2
1969-01-01,3364,1.2
1969-02-01,3364,1.2
1969-03-01,3419,1.2
1969-04-01,3419,1.2
1969-05-01,3419,1.2
1969-06-01,3474,1.2
1969-07-01,3474,1.2
1969-08-01,3474,1.2
1969-09-01,3492,1.2
1969-10-01,3492,1.2
1969-11-01,3492,1.2
1969-12-01,3510,1.2
1970-01-01,3510,1.2
1970-02-01,3510,1.2
1970-03-01,3565,1.2
1970-04-01,3565,1.2
1970-05-01,3565,1.2
1970-06-01,3730,1.3
1970-07-01,3730,1.3
1970-08-01,3730,1.3
1970-09-01,3730,1.3
1970-10-01,3730,1.3
1970-11-01,3730,1.3
1970-12-01,3839,1.3
1971-01-01,3839,1.3
1971-02-01,3839,1.3
1971-03-01,3949,1.4
1971-04-01,3949,1.4
1971-05-01,3949,1.4
1971-06-01,4168,1.5
1971-07-01,4168,1.5
1971-08-01,4168,1.5
1971-09-01,4388,1.5
1971-10-01,4388,1.5
1971-11-01,4388,1.5
1971-12-01,4644,1.6
1972-01-01,4644,1.6
1972-02-01,4644,1.6
1972-03-01,5119,1.8
1972-04-01,5119,1.8
1972-05-01,5119,1.8
1972-06-01,5905,2.1
1972-07-01,5905,2.1
1972-08-01,5905,2.1
1972-09-01,6563,2.3
1972-10-01,6563,2.3
1972-11-01,6563,2.3
1972-12-01,7075,2.5
1973-01-01,7075,2.5
1973-02-01,7075,2.5
1973-03-01,7423,2.6
1973-04-01,7423,2.6
1973-05-01,7423,2.6
1973-06-01,7898,2.8
1973-07-01,7898,2.8
1973-08-01,7898,2.8
1973-09-01,7971,2.8
1973-10-01,7971,2.8
1973-11-01,7971,2.8
1973-12-01,8081,2.8
1974-01-01,8081,2.8
1974-02-01,8081,2.8
1974-03-01,8081,2.8
1974-04-01,8081,2.8
1974-05-01,8081,2.8
1974-06-01,8136,2.8
1974-07-01,8136,2.8
1974-08-01,8136,2.8
1974-09-01,8245,2.9
1974-10-01,8245,2.9
1974-11-01,8245,2.9
1974-12-01,8264,2.9
1975-01-01,8264,2.9
1975-02-01,8264,2.9
1975-03-01,8501,3.0
1975-04-01,8501,3.0
1975-05-01,8501,3.0
1975-06-01,8702,3.0
1975-07-01,8702,3.0
1975-08-01,8702,3.0
1975-09-01,8812,3.1
1975-10-01,8812,3.1
1975-11-01,8812,3.1
1975-12-01,8958,3.1
1976-01-01,8958,3.1
1976-02-01,8958,3.1
1976-03-01,9178,3.2
1976-04-01,9178,3.2
1976-05-01,9178,3.2
1976-06-01,9379,3.3
1976-07-01,9379,3.3
1976-08-01,9379,3.3
1976-09-01,9543,3.3
1976-10-01,9543,3.3
1976-11-01,9543,3.3
1976-12-01,9617,3.4
1977-01-01,9617,3.4
1977-02-01,9617,3.4
1977-03-01,9745,3.4
1977-04-01,9745,3.4
1977-05-01,9745,3.4
1977-06-01,10037,3.5
1977-07-01,10037,3.5
1977-08-01,10037,3.5
1977-09-01,10348,3.6
1977-10-01,10348,3.6
1977-11-01,10348,3.6
1977-12-01,10567,3.7
1978-01-01,10567,3.7
1978-02-01,10567,3.7
1978-03-01,11097,3.9
1978-04-01,11097,3.9
1978-05-01,11097,3.9
1978-06-01,11884,4.2
1978-07-01,11884,4.2
1978-08-01,11884,4.2
1978-09-01,12743,4.5
1978-10-01,12743,4.5
1978-11-01,12743,4.5
1978-12-01,13419,4.7
1979-01-01,13419,4.7
1979-02-01,13419,4.7
1979-03-01,14480,5.1
1979-04-01,14480,5.1
1979-05-01,14480,5.1
1979-06-01,15540,5.4
1979-07-01,15540,5.4
1979-08-01,15540,5.4
1979-09-01,16655,5.8
1979-10-01,16655,5.8
1979-11-01,16655,5.8
1979-12-01,17350,6.1
1980-01-01,17350,6.1
1980-02-01,17350,6.1
1980-03-01,18063,6.3
1980-04-01,18063,6.3
1980-05-01,18063,6.3
1980-06-01,18630,6.5
1980-07-01,18630,6.5
1980-08-01,18630,6.5
1980-09-01,18813,6.6
1980-10-01,18813,6.6
1980-11-01,18813,6.6
1980-12-01,18849,6.6
1981-01-01,18849,6.6
1981-02-01,18849,6.6
1981-03-01,19343,6.8
1981-04-01,19343,6.8
1981-05-01,19343,6.8
1981-06-01,19599,6.9
1981-07-01,19599,6.9
1981-08-01,19599,6.9
1981-09-01,19270,6.7
