"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Greenwich,http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2000-01,233,monthly,108138,224464,149396,110028,93195,2000-01-01
Greenwich,http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2000-02,262,monthly,107737,223714,148571,109674,92871,2000-02-01
Greenwich,http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2000-03,378,monthly,106879,222814,147751,108992,91679,2000-03-01
Greenwich,http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2000-04,292,monthly,109874,227245,151292,111972,94668,2000-04-01
Greenwich,http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2000-05,298,monthly,113376,233809,156405,115338,97912,2000-05-01
Greenwich,http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2000-06,365,monthly,117458,241192,162032,119206,101916,2000-06-01
Greenwich,http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2000-07,338,monthly,120148,248769,166479,121839,104020,2000-07-01
Greenwich,http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2000-08,340,monthly,121830,253458,169071,123143,105930,2000-08-01
Greenwich,http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2000-09,323,monthly,124605,261428,172860,125758,108545,2000-09-01
Greenwich,http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2000-10,315,monthly,122440,257012,170036,123366,106901,2000-10-01
Greenwich,http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2000-11,334,monthly,122431,257780,169746,123346,106974,2000-11-01
Greenwich,http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2000-12,306,monthly,120975,253527,167475,121750,106055,2000-12-01
Greenwich,http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2001-01,269,monthly,121609,254309,167641,122542,106672,2001-01-01
Greenwich,http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2001-02,267,monthly,123580,257485,170320,124720,108144,2001-02-01
Greenwich,http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2001-03,386,monthly,126465,263726,174494,127863,110200,2001-03-01
Greenwich,http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2001-04,281,monthly,129641,270132,178512,131075,113079,2001-04-01
Greenwich,http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2001-05,431,monthly,131079,271473,180085,132506,114549,2001-05-01
Greenwich,http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2001-06,474,monthly,131445,271081,180074,132676,115329,2001-06-01
