"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2000-01,215,monthly,125243,260464,207769,162556,113561,2000-01-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2000-02,235,monthly,126428,263567,209466,164130,114595,2000-02-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2000-03,280,monthly,125472,263773,209062,163702,113327,2000-03-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2000-04,230,monthly,127344,264209,211034,165893,115148,2000-04-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2000-05,236,monthly,132250,272599,219040,172116,119647,2000-05-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2000-06,264,monthly,139773,285642,230592,181241,126704,2000-06-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2000-07,229,monthly,143620,297144,238040,186394,130088,2000-07-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2000-08,222,monthly,147135,304592,243484,190186,133531,2000-08-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2000-09,175,monthly,147457,308704,244177,190243,133923,2000-09-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2000-10,185,monthly,145901,303568,240828,187289,132844,2000-10-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2000-11,200,monthly,143732,299695,237202,184062,131011,2000-11-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2000-12,243,monthly,142388,293325,234294,181705,130029,2000-12-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2001-01,227,monthly,143819,295894,235378,183636,131348,2001-01-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2001-02,180,monthly,146366,300626,239008,187112,133629,2001-02-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2001-03,287,monthly,152255,314564,249231,195271,138782,2001-03-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2001-04,262,monthly,155430,321851,254458,199340,141673,2001-04-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2001-05,284,monthly,158489,328090,259553,203468,144391,2001-05-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2001-06,315,monthly,160132,327968,260552,204777,146210,2001-06-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2001-07,292,monthly,161031,328197,262335,206161,146951,2001-07-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2001-08,322,monthly,162877,330789,264640,208302,148731,2001-08-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2001-09,278,monthly,162664,333253,264412,208029,148523,2001-09-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2001-10,298,monthly,165702,339515,268967,211101,151583,2001-10-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2001-11,292,monthly,166156,340929,269657,210844,152288,2001-11-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2001-12,252,monthly,168382,341777,271741,212258,154870,2001-12-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2002-01,185,monthly,170603,345475,274337,214084,157276,2002-01-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2002-02,230,monthly,170258,343104,272566,213483,157048,2002-02-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2002-03,305,monthly,173064,348163,277817,217408,159478,2002-03-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2002-04,284,monthly,170731,339866,272771,213848,157592,2002-04-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2002-05,388,monthly,176498,349484,282204,220787,163018,2002-05-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2002-06,294,monthly,180868,354317,287085,225929,167229,2002-06-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2002-07,351,monthly,191613,377404,305118,240578,176703,2002-07-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2002-08,388,monthly,195911,386147,311410,245907,180701,2002-08-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2002-09,337,monthly,200663,399593,320819,252544,184790,2002-09-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2002-10,346,monthly,200994,399457,321115,251976,185449,2002-10-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2002-11,296,monthly,203471,405917,324578,254441,187967,2002-11-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2002-12,252,monthly,201921,401146,321216,251395,186956,2002-12-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2003-01,232,monthly,204134,403655,323337,254507,188916,2003-01-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2003-02,194,monthly,207125,405763,328264,257760,191864,2003-02-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2003-03,172,monthly,206909,402496,326854,257440,191717,2003-03-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2003-04,178,monthly,204228,393743,322712,253283,189536,2003-04-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2003-05,197,monthly,206305,395255,325956,257117,191025,2003-05-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2003-06,251,monthly,207485,397641,328079,258418,192172,2003-06-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2003-07,240,monthly,213538,410161,338682,266762,197466,2003-07-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2003-08,263,monthly,209098,401282,331770,261252,193346,2003-08-01
