date,avg_price_all_property_types,hpi_all_property_types
1994-12-01,92577,13.7
1995-01-01,94404,14.0
1995-02-01,93527,13.9
1995-03-01,93406,13.8
1995-04-01,94408,14.0
1995-05-01,97493,14.4
1995-06-01,99041,14.7
1995-07-01,99016,14.7
1995-08-01,99648,14.8
1995-09-01,97644,14.5
1995-10-01,95093,14.1
1995-11-01,91155,13.5
1995-12-01,89465,13.3
1996-01-01,89989,13.3
1996-02-01,90217,13.4
1996-03-01,94263,14.0
1996-04-01,97324,14.4
1996-05-01,99675,14.8
1996-06-01,100604,14.9
1996-07-01,100638,14.9
1996-08-01,99780,14.8
1996-09-01,100438,14.9
1996-10-01,100470,14.9
1996-11-01,102736,15.2
1996-12-01,106155,15.7
1997-01-01,108170,16.0
1997-02-01,111243,16.5
1997-03-01,112709,16.7
1997-04-01,114926,17.0
1997-05-01,116497,17.3
1997-06-01,117563,17.4
1997-07-01,118119,17.5
1997-08-01,118823,17.6
1997-09-01,119673,17.7
1997-10-01,121536,18.0
1997-11-01,122114,18.1
1997-12-01,122829,18.2
1998-01-01,124198,18.4
1998-02-01,124871,18.5
1998-03-01,127352,18.9
1998-04-01,132064,19.6
1998-05-01,139734,20.7
1998-06-01,143787,21.3
1998-07-01,143625,21.3
1998-08-01,141574,21.0
1998-09-01,137910,20.4
1998-10-01,137742,20.4
1998-11-01,135155,20.0
1998-12-01,135359,20.1
1999-01-01,138051,20.5
1999-02-01,142908,21.2
1999-03-01,149820,22.2
1999-04-01,152547,22.6
1999-05-01,155016,23.0
1999-06-01,155974,23.1
1999-07-01,161170,23.9
1999-08-01,166761,24.7
1999-09-01,169257,25.1
1999-10-01,170284,25.2
1999-11-01,171152,25.4
1999-12-01,174233,25.8
2000-01-01,177877,26.4
2000-02-01,181114,26.8
2000-03-01,187577,27.8
2000-04-01,191513,28.4
2000-05-01,195734,29.0
2000-06-01,201235,29.8
2000-07-01,199697,29.6
2000-08-01,199084,29.5
2000-09-01,196945,29.2
2000-10-01,202143,30.0
2000-11-01,205968,30.5
2000-12-01,204762,30.3
2001-01-01,202440,30.0
2001-02-01,206707,30.6
2001-03-01,213571,31.6
2001-04-01,221860,32.9
2001-05-01,224652,33.3
2001-06-01,228228,33.8
2001-07-01,228907,33.9
2001-08-01,229674,34.0
2001-09-01,227561,33.7
2001-10-01,226279,33.5
2001-11-01,224905,33.3
2001-12-01,226216,33.5
2002-01-01,231672,34.3
2002-02-01,238345,35.3
2002-03-01,245194,36.3
2002-04-01,246810,36.6
2002-05-01,248746,36.9
2002-06-01,249202,36.9
2002-07-01,253569,37.6
2002-08-01,258664,38.3
2002-09-01,258424,38.3
2002-10-01,260187,38.6
2002-11-01,258051,38.2
2002-12-01,264585,39.2
2003-01-01,259015,38.4
2003-02-01,256549,38.0
2003-03-01,250995,37.2
2003-04-01,256689,38.0
2003-05-01,255282,37.8
2003-06-01,263526,39.0
2003-07-01,269207,39.9
2003-08-01,272514,40.4
2003-09-01,265606,39.4
2003-10-01,263456,39.0
2003-11-01,269657,40.0
2003-12-01,274958,40.7
2004-01-01,275614,40.8
2004-02-01,277888,41.2
2004-03-01,282273,41.8
2004-04-01,285295,42.3
2004-05-01,282859,41.9
2004-06-01,287225,42.6
2004-07-01,292546,43.3
2004-08-01,295392,43.8
2004-09-01,293008,43.4
2004-10-01,292770,43.4
2004-11-01,293783,43.5
2004-12-01,293954,43.6
2005-01-01,288369,42.7
2005-02-01,288830,42.8
2005-03-01,288292,42.7
2005-04-01,291994,43.3
2005-05-01,295654,43.8
2005-06-01,298528,44.2
2005-07-01,302904,44.9
2005-08-01,303547,45.0
2005-09-01,303963,45.0
2005-10-01,295799,43.8
2005-11-01,291468,43.2
2005-12-01,294362,43.6
2006-01-01,303888,45.0
2006-02-01,310689,46.0
2006-03-01,318995,47.3
2006-04-01,323680,48.0
2006-05-01,325211,48.2
2006-06-01,318743,47.2
2006-07-01,322335,47.8
2006-08-01,326220,48.3
2006-09-01,336647,49.9
2006-10-01,327817,48.6
2006-11-01,329658,48.8
2006-12-01,334218,49.5
2007-01-01,350107,51.9
2007-02-01,354503,52.5
2007-03-01,359774,53.3
2007-04-01,369858,54.8
2007-05-01,390467,57.9
2007-06-01,399385,59.2
2007-07-01,411836,61.0
2007-08-01,415735,61.6
2007-09-01,419429,62.1
2007-10-01,412278,61.1
2007-11-01,413423,61.3
2007-12-01,408298,60.5
2008-01-01,408043,60.5
2008-02-01,402376,59.6
2008-03-01,403212,59.7
2008-04-01,399741,59.2
2008-05-01,392137,58.1
2008-06-01,395252,58.6
2008-07-01,385098,57.1
2008-08-01,385581,57.1
2008-09-01,368500,54.6
2008-10-01,354267,52.5
2008-11-01,342040,50.7
2008-12-01,329439,48.8
2009-01-01,332531,49.3
2009-02-01,327025,48.5
2009-03-01,331980,49.2
2009-04-01,328604,48.7
2009-05-01,331687,49.1
2009-06-01,339731,50.3
2009-07-01,355596,52.7
2009-08-01,369140,54.7
2009-09-01,371747,55.1
2009-10-01,367394,54.4
2009-11-01,361248,53.5
2009-12-01,368702,54.6
2010-01-01,382679,56.7
2010-02-01,389690,57.7
2010-03-01,394149,58.4
2010-04-01,393614,58.3
2010-05-01,400345,59.3
2010-06-01,403343,59.8
2010-07-01,405803,60.1
2010-08-01,412738,61.2
2010-09-01,407441,60.4
2010-10-01,413016,61.2
2010-11-01,408265,60.5
2010-12-01,417233,61.8
2011-01-01,408864,60.6
2011-02-01,411469,61.0
2011-03-01,428455,63.5
2011-04-01,425010,63.0
2011-05-01,425444,63.0
2011-06-01,417541,61.9
2011-07-01,431439,63.9
2011-08-01,439408,65.1
2011-09-01,432144,64.0
2011-10-01,430037,63.7
2011-11-01,425531,63.0
2011-12-01,428364,63.5
2012-01-01,434007,64.3
2012-02-01,436105,64.6
2012-03-01,440813,65.3
2012-04-01,453648,67.2
2012-05-01,454714,67.4
2012-06-01,435361,64.5
2012-07-01,424270,62.9
2012-08-01,430177,63.7
2012-09-01,446708,66.2
2012-10-01,462024,68.5
2012-11-01,462361,68.5
2012-12-01,477517,70.8
2013-01-01,467419,69.3
2013-02-01,473944,70.2
2013-03-01,475342,70.4
2013-04-01,479437,71.0
2013-05-01,486174,72.0
2013-06-01,491355,72.8
2013-07-01,505351,74.9
2013-08-01,510934,75.7
2013-09-01,515918,76.4
2013-10-01,529496,78.5
2013-11-01,540199,80.0
2013-12-01,548477,81.3
2014-01-01,551926,81.8
2014-02-01,558237,82.7
2014-03-01,558996,82.8
2014-04-01,571061,84.6
2014-05-01,581647,86.2
2014-06-01,599915,88.9
2014-07-01,611237,90.6
2014-08-01,621131,92.0
2014-09-01,617092,91.4
2014-10-01,601508,89.1
2014-11-01,605422,89.7
2014-12-01,616725,91.4
2015-01-01,636658,94.3
2015-02-01,630418,93.4
2015-03-01,641591,95.1
2015-04-01,644744,95.5
2015-05-01,652030,96.6
2015-06-01,646603,95.8
2015-07-01,646428,95.8
2015-08-01,658041,97.5
2015-09-01,657399,97.4
2015-10-01,653323,96.8
2015-11-01,638862,94.7
2015-12-01,638913,94.7
2016-01-01,628773,93.2
2016-02-01,646444,95.8
2016-03-01,640953,95.0
2016-04-01,646207,95.7
2016-05-01,633074,93.8
2016-06-01,649331,96.2
2016-07-01,658250,97.5
2016-08-01,647437,95.9
2016-09-01,635037,94.1
2016-10-01,637990,94.5
2016-11-01,648277,96.1
2016-12-01,639990,94.8
2017-01-01,622800,92.3
2017-02-01,621990,92.2
2017-03-01,639395,94.7
2017-04-01,659979,97.8
2017-05-01,665872,98.7
2017-06-01,668284,99.0
2017-07-01,674096,99.9
2017-08-01,671122,99.4
2017-09-01,658379,97.5
2017-10-01,644783,95.5
2017-11-01,639789,94.8
2017-12-01,652691,96.7
2018-01-01,647414,95.9
2018-02-01,652359,96.7
2018-03-01,637828,94.5
2018-04-01,651448,96.5
2018-05-01,655563,97.1
2018-06-01,678241,100.5
2018-07-01,668303,99.0
2018-08-01,660944,97.9
2018-09-01,635406,94.1
2018-10-01,635503,94.2
2018-11-01,623792,92.4
2018-12-01,635744,94.2
2019-01-01,627482,93.0
2019-02-01,628679,93.1
2019-03-01,621021,92.0
2019-04-01,626894,92.9
2019-05-01,626810,92.9
2019-06-01,630965,93.5
2019-07-01,643407,95.3
2019-08-01,654341,96.9
2019-09-01,641927,95.1
2019-10-01,627737,93.0
2019-11-01,641796,95.1
2019-12-01,666282,98.7
2020-01-01,669196,99.2
2020-02-01,651398,96.5
2020-03-01,641092,95.0
2020-04-01,632239,93.7
2020-05-01,641338,95.0
2020-06-01,655304,97.1
2020-07-01,678122,100.5
2020-08-01,687305,101.8
2020-09-01,685000,101.5
2020-10-01,669268,99.2
2020-11-01,663199,98.3
2020-12-01,670257,99.3
2021-01-01,682014,101.0
2021-02-01,687266,101.8
2021-03-01,669169,99.1
2021-04-01,655671,97.1
2021-05-01,648206,96.0
2021-06-01,659393,97.7
2021-07-01,679986,100.7
2021-08-01,685357,101.5
2021-09-01,703850,104.3
2021-10-01,702481,104.1
2021-11-01,711978,105.5
2021-12-01,682895,101.2
2022-01-01,678194,100.5
2022-02-01,685147,101.5
2022-03-01,703990,104.3
2022-04-01,712159,105.5
2022-05-01,692947,102.7
2022-06-01,684132,101.4
2022-07-01,699474,103.6
2022-08-01,709104,105.1
2022-09-01,705438,104.5
2022-10-01,686963,101.8
2022-11-01,676694,100.3
2022-12-01,674928,100.0
2023-01-01,665837,98.7
2023-02-01,686921,101.8
2023-03-01,699936,103.7
2023-04-01,708909,105.0
2023-05-01,689875,102.2
2023-06-01,690661,102.3
2023-07-01,695244,103.0
2023-08-01,704436,104.4
2023-09-01,710344,105.2
2023-10-01,703456,104.2
2023-11-01,697762,103.4
2023-12-01,682177,101.1
2024-01-01,692416,102.6
2024-02-01,715286,106.0
2024-03-01,747718,110.8
2024-04-01,751356,111.3
