date,period,borough,gss_code,sales_volume,avg_price_all_property_types
2000-01-01,2000-01,Greenwich,E09000011,233,108138
2000-01-01,2000-01,Hackney,E09000012,215,125243
2000-01-01,2000-01,Newham,E09000025,348,87432
2000-01-01,2000-01,Tower Hamlets,E09000030,328,140730
2000-01-01,2000-01,Waltham Forest,E09000031,368,97034
2000-02-01,2000-02,Greenwich,E09000011,262,107737
2000-02-01,2000-02,Hackney,E09000012,235,126428
2000-02-01,2000-02,Newham,E09000025,389,89293
2000-02-01,2000-02,Tower Hamlets,E09000030,352,141399
2000-02-01,2000-02,Waltham Forest,E09000031,374,97544
2000-03-01,2000-03,Greenwich,E09000011,378,106879
2000-03-01,2000-03,Hackney,E09000012,280,125472
2000-03-01,2000-03,Newham,E09000025,474,90611
2000-03-01,2000-03,Tower Hamlets,E09000030,468,142782
2000-03-01,2000-03,Waltham Forest,E09000031,478,99926
2000-04-01,2000-04,Greenwich,E09000011,292,109874
2000-04-01,2000-04,Hackney,E09000012,230,127344
2000-04-01,2000-04,Newham,E09000025,381,92964
2000-04-01,2000-04,Tower Hamlets,E09000030,479,149384
2000-04-01,2000-04,Waltham Forest,E09000031,370,102306
2000-05-01,2000-05,Greenwich,E09000011,298,113376
2000-05-01,2000-05,Hackney,E09000012,236,132250
2000-05-01,2000-05,Newham,E09000025,380,95017
2000-05-01,2000-05,Tower Hamlets,E09000030,503,156016
2000-05-01,2000-05,Waltham Forest,E09000031,430,105719
2000-06-01,2000-06,Greenwich,E09000011,365,117458
2000-06-01,2000-06,Hackney,E09000012,264,139773
2000-06-01,2000-06,Newham,E09000025,469,97453
2000-06-01,2000-06,Tower Hamlets,E09000030,493,160503
2000-06-01,2000-06,Waltham Forest,E09000031,466,107563
2000-07-01,2000-07,Greenwich,E09000011,338,120148
2000-07-01,2000-07,Hackney,E09000012,229,143620
2000-07-01,2000-07,Newham,E09000025,382,100175
2000-07-01,2000-07,Tower Hamlets,E09000030,530,160435
2000-07-01,2000-07,Waltham Forest,E09000031,447,108557
2000-08-01,2000-08,Greenwich,E09000011,340,121830
2000-08-01,2000-08,Hackney,E09000012,222,147135
2000-08-01,2000-08,Newham,E09000025,411,102012
2000-08-01,2000-08,Tower Hamlets,E09000030,350,159928
2000-08-01,2000-08,Waltham Forest,E09000031,453,109879
2000-09-01,2000-09,Greenwich,E09000011,323,124605
2000-09-01,2000-09,Hackney,E09000012,175,147457
2000-09-01,2000-09,Newham,E09000025,378,102284
2000-09-01,2000-09,Tower Hamlets,E09000030,395,161232
2000-09-01,2000-09,Waltham Forest,E09000031,421,111969
2000-10-01,2000-10,Greenwich,E09000011,315,122440
2000-10-01,2000-10,Hackney,E09000012,185,145901
2000-10-01,2000-10,Newham,E09000025,404,101231
2000-10-01,2000-10,Tower Hamlets,E09000030,342,161371
2000-10-01,2000-10,Waltham Forest,E09000031,366,112714
2000-11-01,2000-11,Greenwich,E09000011,334,122431
2000-11-01,2000-11,Hackney,E09000012,200,143732
2000-11-01,2000-11,Newham,E09000025,406,101994
2000-11-01,2000-11,Tower Hamlets,E09000030,357,164993
2000-11-01,2000-11,Waltham Forest,E09000031,416,111828
2000-12-01,2000-12,Greenwich,E09000011,306,120975
2000-12-01,2000-12,Hackney,E09000012,243,142388
2000-12-01,2000-12,Newham,E09000025,424,104145
2000-12-01,2000-12,Tower Hamlets,E09000030,429,162384
2000-12-01,2000-12,Waltham Forest,E09000031,361,111571
2001-01-01,2001-01,Greenwich,E09000011,269,121609
2001-01-01,2001-01,Hackney,E09000012,227,143819
2001-01-01,2001-01,Newham,E09000025,360,106131
2001-01-01,2001-01,Tower Hamlets,E09000030,322,164827
2001-01-01,2001-01,Waltham Forest,E09000031,354,111622
2001-02-01,2001-02,Greenwich,E09000011,267,123580
2001-02-01,2001-02,Hackney,E09000012,180,146366
2001-02-01,2001-02,Newham,E09000025,345,106852
2001-02-01,2001-02,Tower Hamlets,E09000030,385,163852
2001-02-01,2001-02,Waltham Forest,E09000031,332,113043
2001-03-01,2001-03,Greenwich,E09000011,386,126465
2001-03-01,2001-03,Hackney,E09000012,287,152255
2001-03-01,2001-03,Newham,E09000025,436,106332
2001-03-01,2001-03,Tower Hamlets,E09000030,425,169921
2001-03-01,2001-03,Waltham Forest,E09000031,427,113130
2001-04-01,2001-04,Greenwich,E09000011,281,129641
2001-04-01,2001-04,Hackney,E09000012,262,155430
2001-04-01,2001-04,Newham,E09000025,384,107654
2001-04-01,2001-04,Tower Hamlets,E09000030,392,172506
2001-04-01,2001-04,Waltham Forest,E09000031,403,114742
2001-05-01,2001-05,Greenwich,E09000011,431,131079
2001-05-01,2001-05,Hackney,E09000012,284,158489
2001-05-01,2001-05,Newham,E09000025,445,109572
2001-05-01,2001-05,Tower Hamlets,E09000030,449,176679
2001-05-01,2001-05,Waltham Forest,E09000031,436,116732
2001-06-01,2001-06,Greenwich,E09000011,474,131445
2001-06-01,2001-06,Hackney,E09000012,315,160132
