"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2000-01,348,monthly,87432,161102,99456,88878,82291,2000-01-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2000-02,389,monthly,89293,165347,101687,90743,84119,2000-02-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2000-03,474,monthly,90611,168990,103673,92202,84808,2000-03-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2000-04,381,monthly,92964,172542,105966,94510,87228,2000-04-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2000-05,380,monthly,95017,175346,108092,96465,89444,2000-05-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2000-06,469,monthly,97453,179060,110589,98684,92268,2000-06-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2000-07,382,monthly,100175,185331,114091,101429,94812,2000-07-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2000-08,411,monthly,102012,189061,116211,103006,97103,2000-08-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2000-09,378,monthly,102284,191061,116595,103184,97534,2000-09-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2000-10,404,monthly,101231,188961,115508,101963,96827,2000-10-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2000-11,406,monthly,101994,191284,116446,102691,97624,2000-11-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2000-12,424,monthly,104145,194724,118848,104694,100017,2000-12-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2001-01,360,monthly,106131,198016,120654,106680,102001,2001-01-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2001-02,345,monthly,106852,198410,121278,107482,102554,2001-02-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2001-03,436,monthly,106332,197597,120877,107159,101631,2001-03-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2001-04,384,monthly,107654,199987,122005,108484,102947,2001-04-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2001-05,445,monthly,109572,203219,124027,110438,104760,2001-05-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2001-06,562,monthly,111420,205539,125593,112027,107082,2001-06-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2001-07,456,monthly,111624,205866,126126,112228,107256,2001-07-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2001-08,494,monthly,114174,210768,128791,114671,109943,2001-08-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2001-09,433,monthly,117510,217658,132406,117994,113214,2001-09-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2001-10,474,monthly,122198,226703,137833,122508,118061,2001-10-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2001-11,539,monthly,124368,230857,140598,124521,120419,2001-11-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2001-12,538,monthly,125824,231817,141989,125530,122703,2001-12-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2002-01,369,monthly,128168,235553,144415,127580,125542,2002-01-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2002-02,385,monthly,129358,236687,145095,128609,127070,2002-02-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2002-03,548,monthly,130442,238682,146479,129851,127811,2002-03-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2002-04,467,monthly,131990,239953,147535,131188,129792,2002-04-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2002-05,545,monthly,135360,245531,151582,134477,133195,2002-05-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2002-06,412,monthly,140267,253541,156409,139242,138305,2002-06-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2002-07,556,monthly,143292,259558,160019,142458,140861,2002-07-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2002-08,489,monthly,148735,269417,165823,147868,146243,2002-08-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2002-09,435,monthly,152180,277216,170381,151477,149200,2002-09-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2002-10,447,monthly,158195,288726,177616,157411,155136,2002-10-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2002-11,460,monthly,160751,294661,180473,159867,157797,2002-11-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2002-12,401,monthly,164665,300288,184860,163429,162272,2002-12-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2003-01,391,monthly,167430,304733,187220,166289,164864,2003-01-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2003-02,349,monthly,169211,306463,189519,167820,167046,2003-02-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2003-03,428,monthly,171149,310123,191243,169909,168692,2003-03-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2003-04,388,monthly,173785,313373,194447,172236,171814,2003-04-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2003-05,429,monthly,175156,315671,196008,174055,172309,2003-05-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2003-06,464,monthly,174779,313856,195326,173498,172319,2003-06-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2003-07,483,monthly,175072,313663,195834,174147,171931,2003-07-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2003-08,435,monthly,175749,314198,196440,174964,172353,2003-08-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2003-09,474,monthly,179676,321902,201439,179576,174830,2003-09-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2003-10,584,monthly,180656,323966,202095,180707,175549,2003-10-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2003-11,494,monthly,184767,331238,206751,184865,179455,2003-11-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2003-12,474,monthly,184419,327750,205491,184362,179515,2003-12-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2004-01,386,monthly,184233,327729,205623,184266,179133,2004-01-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2004-02,385,monthly,184400,326045,205476,184485,179213,2004-02-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2004-03,446,monthly,187921,332667,209327,188051,182462,2004-03-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2004-04,426,monthly,190820,333472,211873,191258,184862,2004-04-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2004-05,347,monthly,190407,329258,210581,191095,184137,2004-05-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2004-06,465,monthly,191788,328660,211790,192527,185437,2004-06-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2004-07,436,monthly,194475,333569,215441,195654,187321,2004-07-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2004-08,451,monthly,198901,342464,220836,200316,191216,2004-08-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2004-09,390,monthly,201296,347938,224264,203350,192480,2004-09-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2004-10,361,monthly,201397,347163,223471,203071,193230,2004-10-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2004-11,313,monthly,201460,345943,223009,203013,193523,2004-11-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2004-12,319,monthly,200943,342452,221300,202262,193475,2004-12-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2005-01,211,monthly,199818,338946,219407,201072,192534,2005-01-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2005-02,263,monthly,200895,338409,220939,202257,193417,2005-02-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2005-03,288,monthly,199943,336388,220325,201524,192133,2005-03-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2005-04,290,monthly,201498,336904,222375,203514,192985,2005-04-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2005-05,301,monthly,199411,334148,219528,201656,190633,2005-05-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2005-06,374,monthly,201680,334595,221373,204269,192380,2005-06-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2005-07,363,monthly,202887,336566,222915,205842,192999,2005-07-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2005-08,331,monthly,204649,339158,224908,208013,194106,2005-08-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2005-09,345,monthly,203082,337658,223936,206892,191876,2005-09-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2005-10,354,monthly,202449,335968,222837,206269,191270,2005-10-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2005-11,376,monthly,203947,337237,224630,207955,192449,2005-11-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2005-12,413,monthly,206513,339504,226443,210177,195515,2005-12-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2006-01,328,monthly,207079,341157,227114,210898,195834,2006-01-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2006-02,334,monthly,204552,336119,223835,208098,193795,2006-02-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2006-03,375,monthly,202396,335848,222395,206469,190875,2006-03-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2006-04,283,monthly,203887,338149,223976,208079,192165,2006-04-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2006-05,355,monthly,208873,346784,229662,213407,196516,2006-05-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2006-06,401,monthly,213214,351903,234234,217948,200497,2006-06-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2006-07,480,monthly,214002,352291,235293,219218,200610,2006-07-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2006-08,391,monthly,214808,353482,236269,220576,200639,2006-08-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2006-09,352,monthly,215741,356379,237585,221509,201510,2006-09-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2006-10,401,monthly,219946,364073,241849,225596,205761,2006-10-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2006-11,401,monthly,221912,368498,244340,227616,207558,2006-11-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2006-12,356,monthly,222352,368034,244403,228206,207826,2006-12-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2007-01,337,monthly,223794,370076,246296,229985,208756,2007-01-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2007-02,353,monthly,224172,369951,246371,229881,209674,2007-02-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2007-03,372,monthly,227726,376962,250550,233855,212558,2007-03-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2007-04,294,monthly,228541,377096,250897,234799,213231,2007-04-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2007-05,323,monthly,231959,380069,253882,238598,216143,2007-05-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2007-06,398,monthly,235551,384227,257435,242256,219560,2007-06-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2007-07,442,monthly,238652,389300,261012,245573,222298,2007-07-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2007-08,439,monthly,243100,399517,266644,250874,225563,2007-08-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2007-09,373,monthly,244923,402603,268917,252780,227213,2007-09-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2007-10,374,monthly,247188,407317,270769,254780,229722,2007-10-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2007-11,377,monthly,246518,406310,270073,253587,229665,2007-11-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2007-12,288,monthly,246311,407040,269445,253108,229788,2007-12-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2008-01,307,monthly,247223,410013,270958,254061,230587,2008-01-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2008-02,352,monthly,244647,406639,268575,251465,228114,2008-02-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2008-03,394,monthly,240178,400612,264598,247384,223514,2008-03-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2008-04,331,monthly,233503,390347,257589,241129,216838,2008-04-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2008-05,300,monthly,233939,389237,257982,241806,217088,2008-05-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2008-06,309,monthly,241413,399345,265866,249540,224038,2008-06-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2008-07,176,monthly,243869,400622,268651,251813,226515,2008-07-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2008-08,128,monthly,236197,388706,260352,244159,219189,2008-08-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2008-09,105,monthly,227593,376698,250457,234776,211565,2008-09-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2008-10,91,monthly,216341,358135,237236,222339,201743,2008-10-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2008-11,68,monthly,215225,354903,235144,220229,201439,2008-11-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2008-12,127,monthly,200378,329592,219491,205673,187067,2008-12-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2009-01,84,monthly,197562,326704,216861,202916,184317,2009-01-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2009-02,72,monthly,195065,320510,214658,200187,182278,2009-02-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2009-03,88,monthly,200015,325790,219337,204090,187881,2009-03-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2009-04,88,monthly,198759,319313,218090,202580,187060,2009-04-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2009-05,98,monthly,191582,308063,210333,195590,179806,2009-05-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2009-06,112,monthly,190613,306356,209590,195194,177994,2009-06-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2009-07,130,monthly,193266,310394,213289,198922,178923,2009-07-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2009-08,110,monthly,199023,319820,220042,205664,183026,2009-08-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2009-09,155,monthly,196602,315784,217782,203469,180326,2009-09-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2009-10,134,monthly,196915,319536,218586,203997,180273,2009-10-01
