"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2000-01,328,monthly,140730,226429,177401,169943,137696,2000-01-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2000-02,352,monthly,141399,227340,178265,170631,138355,2000-02-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2000-03,468,monthly,142782,232428,181650,173537,139516,2000-03-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2000-04,479,monthly,149384,240393,188148,180963,146049,2000-04-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2000-05,503,monthly,156016,249481,195538,188641,152580,2000-05-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2000-06,493,monthly,160503,254208,199601,193061,157088,2000-06-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2000-07,530,monthly,160435,257564,200872,193412,156960,2000-07-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2000-08,350,monthly,159928,256052,199351,191536,156605,2000-08-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2000-09,395,monthly,161232,260086,200701,192386,157955,2000-09-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2000-10,342,monthly,161371,257300,200141,191208,158242,2000-10-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2000-11,357,monthly,164993,264086,204161,194767,161873,2000-11-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2000-12,429,monthly,162384,255799,199401,190223,159489,2000-12-01
