"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2000-01,368,monthly,97034,193382,137508,102277,84076,2000-01-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2000-02,374,monthly,97544,194461,138045,102894,84467,2000-02-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2000-03,478,monthly,99926,199805,141842,105679,86109,2000-03-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2000-04,370,monthly,102306,202858,144647,108168,88285,2000-04-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2000-05,430,monthly,105719,208866,149618,111541,91445,2000-05-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2000-06,466,monthly,107563,211546,151980,113103,93456,2000-06-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2000-07,447,monthly,108557,215441,154082,114051,94295,2000-07-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2000-08,453,monthly,109879,218669,156122,114981,95864,2000-08-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2000-09,421,monthly,111969,224712,159119,116964,97862,2000-09-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2000-10,366,monthly,112714,225828,160292,117546,98694,2000-10-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2000-11,416,monthly,111828,224535,158862,116566,97994,2000-11-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2000-12,361,monthly,111571,222539,158374,116182,97916,2000-12-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2001-01,354,monthly,111622,221598,157688,116341,97975,2001-01-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2001-02,332,monthly,113043,223440,159902,118086,98955,2001-02-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2001-03,427,monthly,113130,223711,160226,118475,98713,2001-03-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2001-04,403,monthly,114742,226755,162296,120096,100232,2001-04-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2001-05,436,monthly,116732,229581,164349,122069,102234,2001-05-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2001-06,513,monthly,119952,234430,168204,125041,105653,2001-06-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2001-07,493,monthly,122196,238414,171348,127268,107769,2001-07-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2001-08,553,monthly,125713,245795,176072,130794,111060,2001-08-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2001-09,459,monthly,128906,253390,180415,134109,113887,2001-09-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2001-10,488,monthly,133281,262392,186778,138540,117855,2001-10-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2001-11,458,monthly,135553,267357,190488,140646,120086,2001-11-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2001-12,351,monthly,137669,269621,193441,142216,122765,2001-12-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2002-01,330,monthly,137327,268564,192697,141401,123070,2002-01-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2002-02,400,monthly,139434,271850,195145,143555,125068,2002-02-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2002-03,413,monthly,139955,272630,195886,144271,125314,2002-03-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2002-04,441,monthly,142060,274934,198194,146183,127645,2002-04-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2002-05,523,monthly,143500,276133,200046,147430,129278,2002-05-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2002-06,408,monthly,147334,281982,204186,151254,133090,2002-06-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2002-07,538,monthly,152733,292772,211572,156930,137810,2002-07-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2002-08,495,monthly,157302,301370,217504,161584,142046,2002-08-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2002-09,496,monthly,164077,316074,228055,168694,147760,2002-09-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2002-10,444,monthly,168389,324596,234933,173106,151530,2002-10-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2002-11,440,monthly,171793,332654,240039,176334,154853,2002-11-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2002-12,360,monthly,171605,331211,240055,175739,155159,2002-12-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2003-01,351,monthly,175473,337348,243953,179790,158804,2003-01-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2003-02,384,monthly,177267,338559,246505,181396,160747,2003-02-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2003-03,413,monthly,178189,339590,247013,182404,161634,2003-03-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2003-04,328,monthly,178308,338493,248066,182058,162212,2003-04-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2003-05,363,monthly,181133,342964,251616,185335,164361,2003-05-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2003-06,404,monthly,182825,344551,253495,186952,166141,2003-06-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2003-07,426,monthly,182968,343647,253365,187555,165770,2003-07-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2003-08,417,monthly,181604,339689,251136,186301,164431,2003-08-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2003-09,445,monthly,181119,339507,250898,186317,163267,2003-09-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2003-10,525,monthly,180562,337919,249541,185837,162750,2003-10-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2003-11,432,monthly,183519,344091,254077,188911,165294,2003-11-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2003-12,443,monthly,186324,346107,257463,191661,168125,2003-12-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2004-01,404,monthly,190386,354533,263411,195837,171726,2004-01-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2004-02,370,monthly,190595,353453,263372,196322,171652,2004-02-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2004-03,446,monthly,191985,356953,264673,197891,172819,2004-03-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2004-04,456,monthly,192686,353846,264716,198895,173313,2004-04-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2004-05,375,monthly,195310,355062,267004,201596,175945,2004-05-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2004-06,475,monthly,197474,355795,269376,203734,178148,2004-06-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2004-07,461,monthly,200347,361214,273838,206964,180325,2004-07-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2004-08,418,monthly,200436,362157,274125,207170,180230,2004-08-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2004-09,376,monthly,201081,365323,275952,208234,180141,2004-09-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2004-10,360,monthly,202536,367501,276865,209591,181817,2004-10-01
